#Device;HMC8015
#Device Name;COFFEE
#Format;LOG
#Date;2029-09-15
#Version;01.400-02.430-03.730
#Serial No.;033820106
#Mode;Unlimited
#Logging Interval[s];1.000
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Start Time;15:57:09
#Stop Time;16:31:19
#Actual Count;2051        
URMS[V];IRMS[A];P[W];FPLL[Hz];URange[V];IRange[A];S[VA];Q[var];LAMBDA[];UTHD[%];Timestamp
231.98;39.50E-03;3.511;50.008;300;100E-03;9.162;8.463;0.383;3.35;15:57:09.000
232.12;39.27E-03;3.451;50.005;300;100E-03;9.116;8.438;0.379;3.34;15:57:10.000
232.02;39.49E-03;3.534;50.019;300;100E-03;9.162;8.453;0.386;3.36;15:57:11.000
231.96;102.72E-03;11.13;50.011;300;500E-03;23.83;21.07;0.467;3.37;15:57:12.000
232.00;104.65E-03;11.33;50.013;300;500E-03;24.28;21.47;0.467;3.38;15:57:13.000
231.89;105.10E-03;11.510;50.015;300;200E-03;24.371;21.482;0.472;3.35;15:57:14.000
231.92;0.1090;11.78;50.012;300;1;25.28;22.37;0.466;3.35;15:57:15.000
231.80;109.21E-03;11.82;50.011;300;500E-03;25.31;22.38;0.467;3.37;15:57:16.000
nan;nan;nan;nan;300;200E-03;nan;nan;nan;nan;15:57:17.000
231.87;113.19E-03;12.422;50.018;300;200E-03;26.245;23.119;0.473;3.37;15:57:18.000
231.72;107.67E-03;11.897;50.013;300;200E-03;24.949;21.930;0.477;3.31;15:57:19.000
231.87;0.0839;8.52;50.011;300;1;19.46;17.50;0.438;3.33;15:57:20.000
231.89;98.42E-03;10.623;50.011;300;200E-03;22.824;20.201;0.465;3.33;15:57:21.000
232.01;94.03E-03;9.866;50.014;300;200E-03;21.815;19.457;0.452;3.29;15:57:22.000
231.91;76.03E-03;7.937;50.013;300;200E-03;17.631;15.744;0.450;3.32;15:57:23.000
231.95;90.44E-03;9.560;50.019;300;200E-03;20.978;18.674;0.456;3.34;15:57:24.000
235.05;0.1225;13.45;50.013;300;1;28.79;25.45;0.467;3.35;15:57:25.000
231.28;72.16E-03;7.562;50.010;300;200E-03;16.689;14.878;0.453;3.33;15:57:26.000
nan;nan;nan;nan;300;1;nan;nan;nan;nan;15:57:27.000
nan;nan;nan;nan;300;200E-03;nan;nan;nan;nan;15:57:28.000
231.94;74.02E-03;7.759;50.009;300;200E-03;17.168;15.315;0.452;3.36;15:57:29.000
231.60;74.10E-03;7.763;50.015;300;200E-03;17.161;15.305;0.452;3.35;15:57:30.000
231.97;74.28E-03;7.800;50.007;300;200E-03;17.232;15.365;0.453;3.35;15:57:31.000
231.91;0.1004;10.55;50.013;300;1;23.29;20.76;0.453;3.37;15:57:32.000
231.84;0.0785;8.01;50.015;300;1;18.19;16.33;0.441;3.35;15:57:33.000
231.77;74.25E-03;7.735;50.014;300;200E-03;17.209;15.373;0.449;3.35;15:57:34.000
231.91;73.02E-03;7.720;50.005;300;200E-03;16.935;15.073;0.456;3.34;15:57:35.000
231.81;85.89E-03;9.040;50.009;300;200E-03;19.910;17.739;0.454;3.37;15:57:36.000
231.88;118.21E-03;12.998;50.005;300;200E-03;27.409;24.132;0.474;3.33;15:57:37.000
231.87;83.95E-03;8.528;50.003;300;200E-03;19.466;17.498;0.438;3.33;15:57:38.000
231.54;91.30E-03;9.826;50.006;300;200E-03;21.140;18.717;0.465;3.30;15:57:39.000
231.78;72.38E-03;7.645;50.007;300;200E-03;16.775;14.932;0.456;3.34;15:57:40.000
231.93;109.28E-03;11.847;50.000;300;200E-03;25.344;22.404;0.467;3.36;15:57:41.000
231.95;73.43E-03;7.637;50.011;300;200E-03;17.032;15.223;0.448;3.32;15:57:42.000
